地名,古紙・容器・包装プラ,燃やすごみ,金属・陶器・ガラスごみ,びん・缶・ペットボトル・スプレー缶・カセットボンベ・乾電池,管轄
愛住町,木,火 金,土2 土4,木,新宿東清掃センター
赤城下町,火,月 木,金1 金3,火,新宿東清掃センター
赤城元町,火,月 木,金1 金3,木,新宿東清掃センター
揚場町,土,月 木,金2 金4,木,新宿東清掃センター
荒木町,木,火 金,土2 土4,木,新宿東清掃センター
市谷加賀町1～2丁目,土,月 木,金2 金4,木,新宿東清掃センター
市谷甲良町,土,月 木,金2 金4,木,新宿東清掃センター
市谷砂土原町1～3丁目,土,月 木,金2 金4,木,新宿東清掃センター
市谷左内町,木,火 金,土2 土4,木,新宿東清掃センター
市谷鷹匠町,土,月 木,金2 金4,木,新宿東清掃センター
市谷田町1丁目,木,火 金,土2 土4,木,新宿東清掃センター
市谷田町2～3丁目,土,月 木,金2 金4,木,新宿東清掃センター
市谷台町,金,水 土,木2 木4,火,新宿東清掃センター
市谷長延寺町,木,火 金,土2 土4,木,新宿東清掃センター
市谷仲之町,金,水 土,木2 木4,火,新宿東清掃センター
市谷八幡町,木,火 金,土2 土4,木,新宿東清掃センター
市谷船河原町,土,月 木,金2 金4,木,新宿東清掃センター
市谷本村町,木,火 金,土2 土4,木,新宿東清掃センター
市谷薬王寺町（58～85番地）,月,水 土,木1 木3,火,新宿東清掃センター
市谷薬王寺町（上記を除く）,金,水 土,木2 木4,火,新宿東清掃センター
市谷柳町（1～7、45、46、48～50番地、47番地の一部）,火,月 木,金1 金3,火,新宿東清掃センター
市谷柳町（8～11、24～35番地、47番地の一部）,月,水 土,木1 木3,火,新宿東清掃センター
市谷柳町（15～22、37～43番地）,金,水 土,木2 木4,火,新宿東清掃センター
市谷山伏町,火,月 木,金1 金3,木,新宿東清掃センター
岩戸町（1～8番地、25～27番地）,火,月 木,金1 金3,木,新宿東清掃センター
岩戸町（上記を除く）,土,月 木,金2 金4,木,新宿東清掃センター
榎町（79番地）,月,水 土,木1 木3,火,新宿東清掃センター
榎町（上記を除く）,火,月 木,金1 金3,火,新宿東清掃センター
大久保1丁目,土,火 金,木1 木3,金,歌舞伎町清掃センター
大久保2丁目,木,火 金,土1 土3,金,新宿清掃事務所
大久保3丁目,木,火 金,土1 土3,金,新宿清掃事務所
改代町,火,月 木,金1 金3,火,新宿東清掃センター
神楽河岸,土,月 木,金2 金4,木,新宿東清掃センター
神楽坂1～4丁目,土,月 木,金2 金4,木,新宿東清掃センター
神楽坂5丁目（21～24番地）,火,月 木,金1 金3,木,新宿東清掃センター
神楽坂5丁目（上記を除く）,土,月 木,金2 金4,木,新宿東清掃センター
神楽坂6丁目,火,月 木,金1 金3,木,新宿東清掃センター
霞ヶ丘町,水,火 金,土1 土3,木,新宿東清掃センター
片町（5、8番地）,金,水 土,木2 木4,木,新宿東清掃センター
片町（上記を除く）,木,火 金,土2 土4,木,新宿東清掃センター
歌舞伎町清掃センター舞伎町1～2丁目,金,月 火 水 木 金,月 火 水 木 金,月,歌舞伎町清掃センター
上落合1～3丁目,月,水 土,木2 木4,水,新宿清掃事務所
河田町,金,水 土,木2 木4,火,新宿東清掃センター
喜久井町,月,水 土,木1 木3,火,新宿東清掃センター
北新宿清掃事務所宿1丁目,火,月 木,金2 金4,水,歌舞伎町清掃センター
北新宿清掃事務所宿2～3丁目,月,水 土,木2 木4,水,歌舞伎町清掃センター
北新宿清掃事務所宿4丁目,月,水 土,木2 木4,水,新宿清掃事務所
北町,土,月 木,金2 金4,木,新宿東清掃センター
北山伏町,火,月 木,金1 金3,木,新宿東清掃センター
細工町,土,月 木,金2 金4,木,新宿東清掃センター
坂町,木,火 金,土2 土4,木,新宿東清掃センター
左門町,水,火 金,土1 土3,木,新宿東清掃センター
三栄町,木,火 金,土2 土4,木,新宿東清掃センター
信濃町,水,火 金,土1 土3,木,新宿東清掃センター
下落合1丁目,金,水 土,木1 木3,水,新宿清掃事務所
下落合2～4丁目,火,月 木,金1 金3,水,新宿清掃事務所
下宮比町,土,月 木,金2 金4,木,新宿東清掃センター
白銀町（12～18番地）,土,月 木,金2 金4,木,新宿東清掃センター
白銀町（上記を除く）,火,月 木,金1 金3,木,新宿東清掃センター
新宿清掃事務所小川町,土,月 木,金2 金4,木,新宿東清掃センター
新宿清掃事務所宿1丁目,水,火 金,土1 土3,木,新宿東清掃センター
新宿清掃事務所宿2丁目（5番と､1～3番の新宿清掃事務所宿通り沿い）,水,月 火 水 木 金,土1 土3,木,新宿東清掃センター
新宿清掃事務所宿2丁目（6～8番､9番1号､10～14番､15番1～21号､16～19番）,水,月 火 水 木 金,月 火 水 木 金,木,新宿東清掃センター
新宿清掃事務所宿2丁目（4番及び9番17～23号､15番22～29号と､1～3番の新宿清掃事務所宿通り沿いを除く）,水,火 金,土1 土3,木,新宿東清掃センター
新宿清掃事務所宿3丁目,金,月 火 水 木 金,月 火 水 木 金,月,歌舞伎町清掃センター
新宿清掃事務所宿4丁目,金,月 火 水 木 金,月 火 水 木 金,木,歌舞伎町清掃センター
新宿清掃事務所宿5丁目（1～16番）,水,火 金,土1 土3,木,歌舞伎町清掃センター
新宿清掃事務所宿5丁目（17番、18番）,金,月 火 水 木 金,月 火 水 木 金,月,歌舞伎町清掃センター
新宿清掃事務所宿6～7丁目,水,火 金,土2 土4,金,歌舞伎町清掃センター
水道町,火,月 木,金1 金3,火,新宿東清掃センター
須賀町,水,火 金,土1 土3,木,新宿東清掃センター
住吉町（1、2番）,木,火 金,土2 土4,火,新宿東清掃センター
住吉町（上記を除く）,金,水 土,木2 木4,火,新宿東清掃センター
大京町,水,火 金,土1 土3,木,新宿東清掃センター
高田馬場1丁目,木,火 金,土1 土3,金,新宿清掃事務所
高田馬場2丁目,木,火 金,土1 土3,金,新宿清掃事務所
高田馬場3丁目,金,水 土,木1 木3,金,新宿清掃事務所
高田馬場4丁目,金,水 土,木1 木3,金,新宿清掃事務所
箪笥町（1～32番地）,火,月 木,金1 金3,木,新宿東清掃センター
箪笥町（上記を除く）,土,月 木,金2 金4,木,新宿東清掃センター
築地町,火,月 木,金1 金3,火,新宿東清掃センター
津久戸町,土,月 木,金2 金4,木,新宿東清掃センター
筑土八幡町（1番地）,土,月 木,金2 金4,木,新宿東清掃センター
筑土八幡町（上記を除く）,火,月 木,金1 金3,木,新宿東清掃センター
天神町,火,月 木,金1 金3,火,新宿東清掃センター
戸塚町1丁目,水,火 金,土2 土4,金,新宿清掃事務所
富久町（8、9番）,木,火 金,土2 土4,火,新宿東清掃センター
富久町（上記を除く）,金,水 土,木2 木4,火,新宿東清掃センター
戸山1丁目,水,火 金,土2 土4,火,新宿清掃事務所
戸山2丁目,木,火 金,土1 土3,火,新宿清掃事務所
戸山3丁目,水,火 金,土2 土4,火,新宿清掃事務所
内藤町,木,火 金,土2 土4,木,新宿東清掃センター
中井1～2丁目,月,水 土,木2 木4,水,新宿清掃事務所
中落合1～2丁目,火,月 木,金1 金3,水,新宿清掃事務所
中落合3～4丁目,土,月 木,金2 金4,水,新宿清掃事務所
中里町,火,月 木,金1 金3,火,新宿東清掃センター
中町,土,月 木,金2 金4,木,新宿東清掃センター
納戸町,土,月 木,金2 金4,木,新宿東清掃センター
西落合1～4丁目,土,月 木,金2 金4,水,新宿清掃事務所
西五軒町,火,月 木,金1 金3,木,新宿東清掃センター
西新宿清掃事務所宿1丁目,金,月 火 水 木 金,月 火 水 木 金,月,歌舞伎町清掃センター
西新宿清掃事務所宿2～4丁目,木,水 土,金1 金3,火,歌舞伎町清掃センター
西新宿清掃事務所宿5丁目,月,水 土,木2 木4,火,歌舞伎町清掃センター
西新宿清掃事務所宿6丁目,土,月 木,金1 金3,火,歌舞伎町清掃センター
西新宿清掃事務所宿7～8丁目,火,月 木,金2 金4,水,歌舞伎町清掃センター
西早稲田1～3丁目,水,火 金,土2 土4,金,新宿清掃事務所
二十騎町,土,月 木,金2 金4,木,新宿東清掃センター
払方町,土,月 木,金2 金4,木,新宿東清掃センター
原町1丁目（14～17番地）,金,水 土,木2 木4,火,新宿東清掃センター
原町1丁目（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
原町2丁目（1～8番地の一部、9～12、30～43番地）,金,水 土,木2 木4,火,新宿東清掃センター
原町2丁目（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
原町3丁目（1～9、84～89番地）,金,水 土,木2 木4,火,新宿東清掃センター
原町3丁目（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
馬場下町,月,水 土,木1 木3,火,新宿東清掃センター
新宿東清掃センター榎町,火,月 木,金1 金3,火,新宿東清掃センター
新宿東清掃センター五軒町,火,月 木,金1 金3,木,新宿東清掃センター
百人町1丁目,金,月 木,土1 土3,金,歌舞伎町清掃センター
百人町2丁目,土,火 金,木1 木3,金,歌舞伎町清掃センター
百人町3～4丁目,金,水 土,木1 木3,金,新宿清掃事務所
袋町,土,月 木,金2 金4,木,新宿東清掃センター
舟町,木,火 金,土2 土4,木,新宿東清掃センター
弁天町（32～105番地）,火,月 木,金1 金3,火,新宿東清掃センター
弁天町（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
本塩町,木,火 金,土2 土4,木,新宿東清掃センター
南町,土,月 木,金2 金4,木,新宿東清掃センター
南榎町,火,月 木,金1 金3,木,新宿東清掃センター
南元町,水,火 金,土1 土3,木,新宿東清掃センター
南山伏町,土,月 木,金2 金4,木,新宿東清掃センター
山吹町（332～366番地）,月,水 土,木1 木3,火,新宿東清掃センター
山吹町（上記を除く）,火,月 木,金1 金3,火,新宿東清掃センター
矢来町,火,月 木,金1 金3,木,新宿東清掃センター
横寺町,火,月 木,金1 金3,木,新宿東清掃センター
余丁町,金,水 土,木2 木4,火,新宿東清掃センター
四谷1丁目（1､2､9～18番地）,水,火 金,土1 土3,木,新宿東清掃センター
四谷1丁目（上記を除く）,木,火 金,土2 土4,木,新宿東清掃センター
四谷2丁目（1､4～8､11､14番地）,水,火 金,土1 土3,木,新宿東清掃センター
四谷2丁目（上記を除く）,木,火 金,土2 土4,木,新宿東清掃センター
四谷3丁目（1､4､5､8､9､12､13番地）,水,火 金,土1 土3,木,新宿東清掃センター
四谷3丁目（上記を除く）,木,火 金,土2 土4,木,新宿東清掃センター
四谷4丁目（1､4～7番地及び､25～32番地と33､34番地の一部）,水,火 金,土1 土3,木,新宿東清掃センター
四谷4丁目（2､3､8～24番地と33､34番地の一部）,木,火 金,土2 土4,木,新宿東清掃センター
若葉1～3丁目,水,火 金,土1 土3,木,新宿東清掃センター
若松町（1～9番地）,金,水 土,木2 木4,火,新宿東清掃センター
若松町（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
若宮町,土,月 木,金2 金4,木,新宿東清掃センター
早稲田町,月,水 土,木1 木3,火,新宿東清掃センター
早稲田鶴巻町（545、546番地）,火,月 木,金1 金3,火,新宿東清掃センター
早稲田鶴巻町（上記を除く）,月,水 土,木1 木3,火,新宿東清掃センター
早稲田南町,月,水 土,木1 木3,火,新宿東清掃センター
